"run","generation","bestFitness","meanFitness","standardDeviationFitness","meanProgramLength","meanEffectiveProgramLength"
"0","0","1.0","2.721","1.5328291653018555","59.595","1.143"
"0","1","1.0","2.8915","1.6852697113518558","59.84","1.331"
"0","2","1.0","3.036875","1.818764926914674","60.078","1.473"
"0","3","1.0","3.139625","1.8930023730505685","60.317","1.601"
"0","4","1.0","3.254625","1.9608497480365357","60.593","1.78"
"0","5","1.0","3.432875","2.06396399178257","60.85","1.955"
"0","6","1.0","3.57125","2.122760216675456","61.137","2.125"
"0","7","1.0","3.72675","2.2537240153798748","61.376","2.295"
"0","8","1.0","3.80625","2.3178434885686263","61.645","2.462"
"0","9","1.0","3.962","2.416051737856639","61.899","2.605"
"0","10","1.0","4.0745","2.54429749636318","62.162","2.748"
"0","11","1.0","4.209125","2.591506773939632","62.43","2.88"
"0","12","1.0","4.307875","2.6463495818532663","62.675","3.004"
"0","13","1.0","4.383","2.709508442503927","62.912","3.125"
"0","14","1.0","4.522","2.727295546874221","63.142","3.231"
"0","15","1.0","4.700625","2.8234536005351853","63.394","3.354"
"0","16","1.0","4.801","2.8752487283711616","63.65","3.5"
"0","17","1.0","4.925375","2.9220567216217663","63.889","3.619"
"0","18","1.0","5.051875","3.0382837851943574","64.114","3.746"
"0","19","1.0","5.1744375","3.1364809842949337","64.37","3.895"
"0","20","1.0","5.2776875","3.160264001407753","64.576","3.977"
"0","21","1.0","5.4305625","3.2127885807883048","64.846","4.107"
"0","22","1.0","5.5358125","3.289697857872935","65.105","4.204"
"0","23","1.0","5.5928125","3.3416031513472313","65.343","4.266"
"0","24","1.0","5.6651875","3.3859680293962877","65.604","4.335"
"0","25","1.0","5.742875","3.426103268930332","65.825","4.454"
"0","26","1.0","5.879375","3.4648407588769516","66.057","4.595"
"0","27","1.0","6.010875","3.5395167197479047","66.29","4.776"
"0","28","1.0","6.1271875","3.5522878713715897","66.528","4.881"
"0","29","1.0","6.2409375","3.614545255262926","66.784","5.128"
"0","30","1.0","6.3823125","3.6455577157128918","67.004","5.304"
"0","31","1.0","6.5375625","3.737040000433995","67.254","5.466"
"0","32","1.0","6.5933125","3.7808749560906905","67.458","5.558"
"0","33","1.0","6.671","3.8255117631501374","67.691","5.623"
"0","34","1.0","6.719625","3.8591448838279","67.937","5.68"
"0","35","1.0","6.89275","3.9121482190096017","68.156","5.799"
"0","36","1.0","7.078875","3.9506701152304613","68.393","5.965"
"0","37","1.0","7.07375","4.025453972845798","68.624","5.998"
"0","38","1.0","7.0945","4.042072611915805","68.85","6.069"
"0","39","1.0","7.1265","4.082420115568708","69.102","6.138"
"0","40","1.0","7.143625","4.082938584448092","69.323","6.157"
"0","41","1.0","7.24","4.087602445199395","69.563","6.209"
"0","42","1.0","7.33575","4.133157471897248","69.801","6.299"
"0","43","1.0","7.32375","4.162004287299556","70.027","6.394"
"0","44","1.0","7.35175","4.1992994281784775","70.249","6.495"
"0","45","1.0","7.438375","4.1967843921715735","70.492","6.628"
"0","46","1.0","7.4406875","4.216078042279777","70.722","6.706"
"0","47","1.0","7.4445625","4.220888453849947","70.99","6.743"
"0","48","1.0","7.4186875","4.245225442611241","71.222","6.794"
"0","49","1.0","7.4749375","4.250365884526154","71.45","6.892"
"0","50","1.0","7.5281875","4.257193176976329","71.658","6.987"
"0","51","1.0","7.5786875","4.318736396053105","71.915","7.08"
"0","52","1.0","7.6705","4.3693088054633975","72.169","7.186"
"0","53","1.0","7.7790625","4.330300570092539","72.422","7.344"
"0","54","1.0","7.88825","4.388494837356005","72.666","7.496"
"0","55","1.0","7.9945","4.420191709643367","72.892","7.529"
"0","56","1.0","7.99575","4.4293390519918425","73.097","7.599"
"0","57","1.0","8.083875","4.481766460824909","73.352","7.665"
"0","58","1.0","8.06625","4.466551207307504","73.598","7.742"
"0","59","1.0","8.074625","4.503527421297115","73.832","7.815"
"0","60","1.0","8.15575","4.5352740476734175","74.083","7.86"
"0","61","1.0","8.20225","4.575526055821335","74.294","7.866"
"0","62","1.0","8.274","4.60611878374842","74.516","7.923"
"0","63","1.0","8.367625","4.638637864112156","74.77","8.03"
"0","64","1.0","8.34975","4.671170216070069","75.021","7.999"
"0","65","1.0","8.352875","4.630826854825714","75.271","8.084"
"0","66","1.0","8.386875","4.62964964758402","75.506","8.105"
"0","67","1.0","8.420875","4.689596716070046","75.712","8.135"
"0","68","1.0","8.460625","4.710267665894905","75.96","8.231"
"0","69","1.0","8.556875","4.7634447471735175","76.202","8.426"
"0","70","1.0","8.597","4.771971919447972","76.438","8.424"
"0","71","1.0","8.6165","4.809566274623926","76.68","8.486"
"0","72","1.0","8.6360625","4.793891650042143","76.896","8.592"
"0","73","1.0","8.70325","4.798359296415795","77.136","8.706"
"0","74","1.0","8.6955","4.854807385468542","77.413","8.833"
"0","75","1.0","8.682625","4.862838161441823","77.645","8.921"
"0","76","1.0","8.834125","4.927147487073535","77.884","8.884"
"0","77","1.0","8.84975","4.931438044576849","78.133","8.943"
"0","78","1.0","8.954375","4.899620162254919","78.381","9.103"
"0","79","1.0","8.834625","4.892476160838708","78.608","9.149"
