"run","generation","bestFitness","meanFitness","standardDeviationFitness","meanProgramLength","meanEffectiveProgramLength"
"0","0","0.5587400218137862","487.7321557921808","4360.675710238096","20.45","1.98"
"0","1","0.4113460478456804","518.1055520852241","4367.505138107971","20.67","1.96"
"0","2","0.4113460478456804","3.1165545837474083E10","3.100932605199077E11","20.91","2.29"
"0","3","0.4113460478456804","3.1165545836161114E10","3.100932605200399E11","21.16","2.5"
"0","4","0.4113460478456804","3.116554583126111E10","3.10093260520532E11","21.42","2.55"
"0","5","0.4113460478456804","3.1165545835893906E10","3.1009326052006647E11","21.69","2.57"
"0","6","0.4113460478456804","3.1165545835885048E10","3.1009326052006775E11","21.95","2.7"
"0","7","0.4113460478456804","3.1165545836907646E10","3.100932605199646E11","22.2","2.76"
"0","8","0.4113460478456804","3.1165545839861717E10","3.100932605196675E11","22.54","2.88"
"0","9","0.4113460478456804","3.1165545844657475E10","3.100932605191857E11","22.73","2.91"
"0","10","0.4113460478456804","3.116554592981428E10","3.1009326051062695E11","22.98","3.25"
"0","11","0.4113460478456804","3.116554593067165E10","3.100932605105409E11","23.27","3.22"
"0","12","0.4113460478456804","3.1165545936697086E10","3.100932605099355E11","23.51","3.38"
"0","13","0.4113460478456804","3.1165545932598385E10","3.1009326051034735E11","23.81","3.45"
"0","14","0.4113460478456804","3.116554593254723E10","3.100932605103525E11","24.03","3.59"
"0","15","0.4113460478456804","3.1165545932753128E10","3.100932605103318E11","24.25","3.64"
"0","16","0.4113460478456804","3.1165545934844257E10","3.100932605101215E11","24.53","3.76"
"0","17","0.4113460478456804","3.1165545931975094E10","3.1009326051041016E11","24.78","3.64"
"0","18","0.4113460478456804","3.1165545934345367E10","3.1009326051017163E11","25.0","3.83"
"0","19","0.4113460478456804","3.1165545934519474E10","3.10093260510154E11","25.23","3.8"
"0","20","0.4113460478456804","3.116554593424063E10","3.100932605101822E11","25.39","3.87"
"0","21","0.4113460478456804","3.1165545934093575E10","3.100932605101972E11","25.63","3.87"
"0","22","0.4113460478456804","3.1165545847949078E10","3.100932605188549E11","25.88","3.85"
"0","23","0.4113460478456804","3.116554584755319E10","3.1009326051889465E11","26.15","4.03"
"0","24","0.4113460478456804","3.1165545841103012E10","3.100932605195427E11","26.43","3.97"
"0","25","0.4113460478456804","3.116554584180776E10","3.1009326051947186E11","26.75","4.03"
"0","26","0.4113460478456804","3.11655458427392E10","3.100932605193783E11","27.04","3.95"
"0","27","0.4113460478456804","3.1165545864858395E10","3.100932605171553E11","27.31","3.92"
"0","28","0.4113460478456804","3.11655458654843E10","3.1009326051709235E11","27.57","3.83"
"0","29","0.4113460478456804","3.1165545865894943E10","3.1009326051705133E11","27.82","3.66"
"0","30","0.4113460478456804","3.1165545866206417E10","3.1009326051701996E11","28.07","3.77"
"0","31","0.4113460478456804","3.116554586864928E10","3.1009326051677466E11","28.4","3.69"
"0","32","0.4113460478456804","3.116554585299498E10","3.100932605183477E11","28.57","3.58"
"0","33","0.4113460478456804","3.116554584670396E10","3.100932605189802E11","28.74","3.54"
"0","34","0.4113460478456804","3.1165545850970097E10","3.1009326051855115E11","29.0","3.75"
"0","35","0.4113460478456804","3.1165545847746037E10","3.100932605188753E11","29.24","3.87"
"0","36","0.4113460478456804","3.1165545854939774E10","3.1009326051815234E11","29.45","4.01"
"0","37","0.4113460478456804","3.1165545856872326E10","3.1009326051795807E11","29.71","4.17"
"0","38","0.4113460478456804","3.1165545856513832E10","3.100932605179942E11","29.9","4.23"
"0","39","0.4113460478456804","3.1165545856634365E10","3.1009326051798206E11","30.24","4.1"
"0","40","0.4113460478456804","3.1165545855754375E10","3.100932605180703E11","30.51","4.2"
"0","41","0.4113460478456804","3.116554585573617E10","3.1009326051807214E11","30.79","4.34"
"0","42","0.4113460478456804","3.1165545858800217E10","3.100932605177642E11","31.03","4.36"
"0","43","0.4113460478456804","3.1165545874432518E10","3.100932605161931E11","31.22","4.49"
"0","44","0.4113460478456804","3.1165545886886818E10","3.100932605149414E11","31.38","4.56"
"0","45","0.4113460478456804","3.1165545887316494E10","3.100932605148983E11","31.67","4.61"
"0","46","0.4113460478456804","3.116554586233861E10","3.100932605174087E11","31.86","4.72"
"0","47","0.4113460478456804","3.116554586580272E10","3.100932605170605E11","32.09","4.66"
"0","48","0.4113460478456804","3.1165545885721333E10","3.100932605150588E11","32.2","4.61"
"0","49","0.4113460478456804","3.1165545447803955E10","3.1009326055907086E11","32.45","4.75"
